page,resources_refereced,text_extracted
/homepage/,"{'page_urls': 60, 'png': 33, 'jpg': 17, 'svg': 10, 'jpeg': 6, 'webp': 3}",24
/supplier-memberships/,"{'page_urls': 14, 'jpg': 1, 'png': 1}",9
/resources/,"{'page_urls': 32, 'jpg': 1, 'png': 13}",17
/woven-lms-usage-franchisor-roi/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/supplier-wire-038/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",19
/featured-supplier/woven/,"{'page_urls': 19, 'jpg': 1, 'png': 1, 'jpeg': 1}",33
/featured-supplier/salesdesk/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",28
/woven-promises/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",22
/2024/02/16/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/02/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/2024/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/wendys-csquared-advisors/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2024/page/6/,"{'page_urls': 27, 'jpg': 1, 'png': 9}",13
/featured-supplier/c-squared-advisors-llc/,"{'page_urls': 19, 'jpg': 1, 'png': 2}",34
/woven-planet-fitness-case-study/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",39
/private-equity-franchise/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",39
/2024/01/09/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/2024/03/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/snapchat-for-franchises/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",26
/the-good-feet-store-clayton-kendall/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",24
/featured-supplier/purple-penguin-digital/,"{'page_urls': 19, 'jpg': 2, 'png': 2, 'pdf': 1}",39
/featured-supplier/clayton-kendall/,"{'page_urls': 19, 'jpg': 2, 'png': 1}",35
/franchise-facebook-marketing/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",15
/clayton-kendall-hires-vp-of-sales/,"{'page_urls': 16, 'jpg': 2, 'png': 2}",23
/2023/12/12/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/02/12/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/,"{'page_urls': 26, 'jpg': 1, 'png': 12}",16
/supplier-wire-030/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/supplier-wire-029/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/featured-supplier/epic-managers/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",35
/increase-ebitda-managers/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
